hash,Task,Condition,Order,Start,End,Word,TaskText,ResponseStart,ResponseEnd,ResponseFlag,ResponseLatency,ResponseDuration,isHrValid,isScValid,fHr1,fHr2,fHr3,fHr4,fHr5,fHr6,fHr7,fSc1,fSc2,fSc3,fSc4,fSc5,fSc6
55386,Arithmetic,High,11,400,415,7,10+9-4*3,403.517955,404.343061,1,3.51795499999997,0.825106000000005,1,1,0.10149999999997,0.754874999999998,0.0430031145051467,0.0182091029040835,0.0373323668809008,0.908659924146653,-0.0192937420196327,1.30266202207201,0.249840069299058,2,0.0071150184900572,0.0109854836378434,0.00174505029673336
55386,Arithmetic,Low,12,415,430,9,2+7,416.224583,417.008434,1,1.224583,0.783851000000027,1,1,0.0895999999999959,0.709333333333335,0.0331926196616091,0.0406340374563059,0.0551195841123087,1.02726296958854,0.018587327919074,0.583545570121204,0.137235707245067,1,-0.00889627569480175,-0.000827688582598153,-0.00484269668009159
55386,Arithmetic,High,13,430,445,9,7+5*2-8,434.046867,434.706951,1,4.04686700000002,0.660083999999983,1,1,0.10540000000002,0.673888888888889,0.0430942120372451,0.0359808977097568,0.0553542638919365,1.05924459335976,0.0836524663494209,3.10260445463332,0.145715244248173,1,0.00898028935343717,-0.00847960388765779,0.0124263887735722
55386,Arithmetic,Low,14,445,460,0,0/7,446.547219,447.166048,1,1.54721899999998,0.618829000000005,1,1,0.100500000000017,0.739625000000004,0.0383403461494283,0.0440454310911041,0.0573226834224424,1.01670074982958,-0.0687879007867177,0.808599178908875,0.421678622718997,0,-0.00772252920384051,-0.00780109702711469,0.0213188611288319
55386,Arithmetic,Low,15,460,475,1,3-2,461.15159,461.811675,1,1.15159,0.660084999999981,1,1,0.0291999999999631,0.748874999999998,0.0113821602267919,0.0132287565552999,0.0228774050855961,1.02261985145172,-0.00887365465288863,0.258161513039932,0.0291753892369572,1,-0.000379547337572581,0.00139791814113399,-0.00164078273255658
55386,Arithmetic,Low,16,475,490,4,10-6,475.879727,476.746088,1,0.879727000000003,0.866360999999984,1,1,0.0597999999999729,0.720999999999997,0.0222317340754078,0.0253771550808839,0.033669319276713,0.994396790260106,0.0163686106407338,1.07147712510088,0.142780763871375,2,0.00263258854066222,-0.00464935427529394,0.00517602289009702
55386,Arithmetic,High,17,490,505,8,5*3+2-9,494.155819,495.145946,1,4.15581900000001,0.990126999999973,1,1,0.0611999999999966,0.699374999999996,0.0253542754917982,0.025028555120663,0.0344640190193398,0.981934112646125,0.0458537101252598,2.57996085766086,0.686093325380433,1,0.00580257292116846,0.025567768565704,0.00154771828710529
55386,Arithmetic,Low,18,505,520,6,5+1,506.202363,506.944958,1,1.20236299999999,0.742594999999994,1,1,0.0603999999999927,0.727777777777779,0.0221064344579625,0.017363755354186,0.0236648094995072,1.04470291479818,-0.00664695652524363,0.907919600214907,0.221491148127372,1,0.0015537500609623,0.0150423793877375,0.0129485345532426
55386,Arithmetic,High,19,520,535,1,2*9-7-10,523.11703,524.065902,1,3.11703,0.948872000000051,1,1,0.046799999999962,0.710125000000005,0.0193865748835298,0.0213407725124212,0.028509949056803,0.997538677918403,0.0264396882735081,3.25852135605419,0.3294300678082,0,0.0045956429363696,0.0136623301227458,0.0489726455005116
55386,Arithmetic,High,20,535,550,0,6/3-9+7,538.752783,539.495379,1,3.75278300000002,0.742595999999935,1,1,0.0595000000000141,0.742750000000001,0.024046086702723,0.0214842134733817,0.030001462165913,0.945008183306018,-0.0133375628836415,0.634401138278756,0.20322881919895,1,-0.00132207329827447,0.00126952436226442,0.000479694169974692
